Header,GPSWeek,GPSTime,Heading,Pitch,Roll,gyrox,gyroy,gyroz,accx,accy,accz,Lattitude,Longitude,Altitude,Ve,Vn,Vu,V,NSV1,NSV2,Status,Age,Warming*Cs,
$GPCHC,2125,119773.4,13.24,0.34,-2,0.02,-0.12,-0.05,0.0348,0.006,0.9986,32.0280425,118.8578274,31.53,-0.011,0.008,0.024,0.013,17,13,51,1,2*6C,
$GPCHC,2125,119773.8,13.41,0.35,-2.01,0.09,-0.06,-0.04,0.0351,0.006,0.9979,32.02804248,118.8578274,31.52,0.03,0.004,-0.009,0.03,17,13,51,1,2*63,
$GPCHC,2125,119774.2,13.32,0.33,-2.04,0.07,-0.15,-0.07,0.0354,0.0058,0.9974,32.02804252,118.8578274,31.52,-0.008,0.008,-0.026,0.011,16,13,51,1,2*44,
$GPCHC,2125,119774.4,13.32,0.32,-2.01,0.04,-0.16,-0.04,0.035,0.0057,0.998,32.02804253,118.8578274,31.52,0.003,0.014,-0.049,0.015,16,13,51,1,2*62,
$GPCHC,2125,119774.8,13.01,0.33,-2.02,0.08,-0.08,-0.05,0.0353,0.0057,0.9994,32.02804251,118.8578274,31.52,0.004,-0.011,0.012,0.012,16,13,51,1,2*61,
$GPCHC,2125,119775.6,12.97,0.35,-2.04,0.08,-0.13,-0.04,0.0355,0.0062,0.9984,32.02804254,118.8578274,31.51,-0.02,-0.019,0.028,0.028,16,13,51,0,2*4C,
$GPCHC,2125,119775.8,13.03,0.3,-2.04,0.05,-0.15,-0.05,0.0355,0.0052,0.9979,32.02804256,118.8578274,31.51,-0.006,0.02,-0.051,0.021,16,13,51,1,2*4C,
$GPCHC,2125,119776,13.03,0.35,-2.01,0.08,-0.18,-0.01,0.035,0.0061,0.9989,32.02804255,118.8578274,31.51,-0.023,-0.009,-0.02,0.025,16,13,51,1,2*69,
$GPCHC,2125,119776.6,13,0.36,-2.05,0.08,-0.15,-0.03,0.0358,0.0063,0.9986,32.02804256,118.8578275,31.51,-0.013,-0.006,-0.058,0.015,16,13,51,0,2*60,
$GPCHC,2125,119776.8,12.77,0.33,-2.05,0.04,-0.13,-0.05,0.0358,0.0057,0.9991,32.02804257,118.8578275,31.5,0.024,0.007,-0.084,0.025,16,13,51,1,2*65,
$GPCHC,2125,119777.6,12.84,0.31,-2.05,0.06,-0.16,-0.05,0.0358,0.0054,0.9988,32.02804252,118.8578275,31.51,-0.015,-0.028,-0.021,0.032,16,13,51,0,2*6B,
$GPCHC,2125,119777.8,12.84,0.37,-2.08,0.1,-0.1,-0.03,0.0365,0.0065,1.0056,32.02804255,118.8578275,31.51,-0.003,0.035,0.022,0.035,16,13,51,1,2*68,
$GPCHC,2125,119778.4,13.41,0.32,-2.05,0.07,-0.16,-0.05,0.0357,0.0057,0.9984,32.02804252,118.8578276,31.5,0.011,-0.03,0.025,0.031,17,14,51,1,2*65,
$GPCHC,2125,119778.8,13.27,0.36,-2.09,0.09,-0.17,-0.04,0.0366,0.0063,1.0024,32.02804254,118.8578276,31.51,-0.005,0.006,-0.02,0.008,17,15,51,1,2*45,
$GPCHC,2125,119779.2,13.23,0.38,-2.08,0.09,-0.13,-0.04,0.0363,0.0067,0.9988,32.02804251,118.8578276,31.51,0.003,-0.005,0.023,0.006,17,15,51,1,2*68,
$GPCHC,2125,119779.4,13.05,0.3,-2.08,0.06,-0.15,-0.07,0.0362,0.0052,0.9991,32.02804249,118.8578276,31.5,0,0.012,-0.065,0.012,17,13,51,1,2*65,
